date,platform,portfolio,followers,follower_growth,impressions,profile_visits,link_clicks,views,likes,comments,shares,saves,posts_published,posts_goal_weekly
2026-03-04,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-04,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-04,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-04,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-05,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-05,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-05,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-05,Instagram,Rumah Ningrat Subang,104,0,0,0,0,34,0,0,0,0,1,4
2026-03-06,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-06,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-06,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-06,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-07,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-07,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-07,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-07,Instagram,Rumah Ningrat Subang,104,0,0,0,0,41,0,0,0,0,1,4
2026-03-08,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-08,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-08,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-08,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-09,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-09,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-09,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-09,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-10,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-10,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-10,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-10,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-11,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-11,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-11,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-11,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-12,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-12,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-12,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-12,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-13,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-13,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-13,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-13,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-14,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-14,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-14,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-14,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-15,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-15,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-15,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-15,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-16,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,3,4
2026-03-16,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,3,4
2026-03-16,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,220,6,0,0,1,1,4
2026-03-16,Instagram,Rumah Ningrat Subang,104,0,0,0,0,111,0,0,0,0,1,4
2026-03-17,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,1,4
2026-03-17,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,1,4
2026-03-17,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,1,4
2026-03-17,Instagram,Rumah Ningrat Subang,104,0,0,0,0,126,1,0,0,0,1,4
2026-03-18,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,1,4
2026-03-18,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,1,4
2026-03-18,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,1,4
2026-03-18,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,1,4
2026-03-19,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-19,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-19,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,104,1,0,0,0,1,4
2026-03-19,Instagram,Rumah Ningrat Subang,104,0,0,0,0,68,0,0,1,1,1,4
2026-03-20,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-20,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-20,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-20,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-21,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-21,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-21,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-21,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-22,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,1,4
2026-03-22,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,1,4
2026-03-22,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,177,1,0,0,1,1,4
2026-03-22,Instagram,Rumah Ningrat Subang,104,0,0,0,0,112,0,0,0,0,1,4
2026-03-23,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,1,4
2026-03-23,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,1,4
2026-03-23,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,1,4
2026-03-23,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,1,4
2026-03-24,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-24,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-24,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-24,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-25,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,4,4
2026-03-25,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,4,4
2026-03-25,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,156,3,0,0,0,1,4
2026-03-25,Instagram,Rumah Ningrat Subang,104,0,0,0,0,62,0,0,0,0,1,4
2026-03-26,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,1,4
2026-03-26,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,1,4
2026-03-26,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,1,4
2026-03-26,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,1,4
2026-03-27,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,1,4
2026-03-27,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,1,4
2026-03-27,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,63,1,0,0,1,1,4
2026-03-27,Instagram,Rumah Ningrat Subang,104,0,0,0,0,74,0,0,0,0,1,4
2026-03-28,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-28,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-28,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-28,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-29,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,1,4
2026-03-29,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,1,4
2026-03-29,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,47,1,0,0,1,1,4
2026-03-29,Instagram,Rumah Ningrat Subang,104,0,0,0,0,31,0,0,0,0,1,4
2026-03-30,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-03-30,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-03-30,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-03-30,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
2026-03-31,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,1,4
2026-03-31,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,1,4
2026-03-31,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,1,4
2026-03-31,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,1,4
2026-04-01,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,1,4
2026-04-01,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,1,4
2026-04-01,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,136,2,0,0,0,1,4
2026-04-01,Instagram,Rumah Ningrat Subang,104,0,0,0,0,23,0,0,0,0,1,4
2026-04-02,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,1,4
2026-04-02,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,1,4
2026-04-02,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,1,4
2026-04-02,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,1,4
2026-04-03,Facebook,Rumah Ningrat Pejambon,4,0,0,0,0,0,0,0,0,0,0,4
2026-04-03,Facebook,Rumah Ningrat Subang,5,0,0,0,0,0,0,0,0,0,0,4
2026-04-03,Instagram,Rumah Ningrat Pejambon,87,0,0,0,0,0,0,0,0,0,0,4
2026-04-03,Instagram,Rumah Ningrat Subang,104,0,0,0,0,0,0,0,0,0,0,4
