portfolio,date,campaign_name,campaign_id,impressions,reach,clicks,spend,cpm,cpc,ctr,purchases,revenue,roas,cpa
Rumah Ningrat Pejambon,2026-03-21,THR Promo Awareness Broad,120242139813150149,1472,1472,15,7743.0,5260.19,516.2,1.02,0,0,0,0
Rumah Ningrat Pejambon,2026-03-22,THR Promo Awareness Broad,120242139813150149,6871,5396,204,56607.0,8238.54,277.49,2.97,0,0,0,0
Rumah Ningrat Pejambon,2026-03-23,THR Promo Awareness Broad,120242139813150149,2547,2217,60,17213.0,6758.15,286.88,2.36,0,0,0,0
Rumah Ningrat Pejambon,2026-03-24,THR Promo Awareness Broad,120242139813150149,2027,2007,20,9011.0,4445.49,450.55,0.99,0,0,0,0
Rumah Ningrat Pejambon,2026-03-24,THR Promo Leads New,120242370941270149,2223,1989,39,23514.0,10577.6,602.92,1.75,0,0,0,0
Rumah Ningrat Pejambon,2026-03-25,THR Promo Leads New,120242370941270149,1461,1238,25,21047.0,14405.89,841.88,1.71,0,0,0,0
Rumah Ningrat Pejambon,2026-03-26,RN Pejambon Leads,120242449474510149,4486,3689,164,48759.0,10869.15,297.31,3.66,0,0,0,0
Rumah Ningrat Pejambon,2026-03-27,RN Pejambon Leads,120242449474510149,9376,7545,319,103349.0,11022.72,323.98,3.4,0,0,0,0
Rumah Ningrat Pejambon,2026-03-28,RN Pejambon Leads,120242449474510149,10958,8798,394,110981.0,10127.85,281.68,3.6,0,0,0,0
Rumah Ningrat Pejambon,2026-03-29,RN Pejambon Leads,120242449474510149,13741,11070,527,117638.0,8561.09,223.22,3.84,0,0,0,0
Rumah Ningrat Pejambon,2026-03-30,RN Pejambon Leads,120242449474510149,4899,3990,142,60242.0,12296.8,424.24,2.9,0,0,0,0
Rumah Ningrat Pejambon,2026-03-31,RN Pejambon Leads,120242449474510149,8304,6498,262,99947.0,12036.01,381.48,3.16,0,0,0,0
Rumah Ningrat Pejambon,2026-04-01,RN Pejambon Leads,120242449474510149,7865,6398,181,99126.0,12603.43,547.66,2.3,0,0,0,0
Rumah Ningrat Pejambon,2026-04-02,RN Pejambon Leads,120242449474510149,14651,12646,346,133423.0,9106.75,385.62,2.36,0,0,0,0
Rumah Ningrat Pejambon,2026-04-03,RN Pejambon Leads,120242449474510149,1334,1225,39,24301.0,18216.64,623.1,2.92,0,0,0,0
Rumah Ningrat Subang,2026-03-26,RN Subang Awareness,120243453628000530,21742,21075,57,30993.0,1425.49,543.74,0.26,0,0,0,0
Rumah Ningrat Subang,2026-03-27,RN Subang Awareness,120243453628000530,35661,34218,104,50347.0,1411.82,484.11,0.29,0,0,0,0
Rumah Ningrat Subang,2026-03-28,RN Subang Awareness,120243453628000530,7383,7099,20,10193.0,1380.6,509.65,0.27,0,0,0,0
Rumah Ningrat Subang,2026-03-28,RN Subang Leads,120243455082920530,4327,3602,187,60273.0,13929.51,322.32,4.32,0,0,0,0
Rumah Ningrat Subang,2026-03-29,RN Subang Awareness,120243453628000530,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
Rumah Ningrat Subang,2026-03-29,RN Subang Leads,120243455082920530,7111,6166,337,76612.0,10773.73,227.34,4.74,0,0,0,0
Rumah Ningrat Subang,2026-03-30,RN Subang Leads,120243455082920530,2818,2393,142,52237.0,18536.91,367.87,5.04,0,0,0,0
Rumah Ningrat Subang,2026-03-31,RN Subang Awareness,120243453628000530,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
Rumah Ningrat Subang,2026-03-31,RN Subang Leads,120243455082920530,10411,8871,416,140190.0,13465.57,337.0,4.0,0,0,0,0
Rumah Ningrat Subang,2026-04-01,RN Subang Leads,120243455082920530,10913,9596,364,126714.0,11611.29,348.12,3.34,0,0,0,0
Rumah Ningrat Subang,2026-04-02,RN Subang Awareness,120243453628000530,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
Rumah Ningrat Subang,2026-04-02,RN Subang Leads,120243455082920530,11467,9861,305,109460.0,9545.65,358.89,2.66,0,0,0,0
Rumah Ningrat Subang,2026-04-03,RN Subang Leads,120243455082920530,822,737,24,12481.0,15183.7,520.04,2.92,0,0,0,0
