portfolio,date,platform,followers,follower_growth,impressions,profile_visits,link_clicks,views,likes,comments,shares,saves,posts_published,posts_goal_weekly
Rumah Ningrat Subang,2026-03-04,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-05,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-06,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-07,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-08,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-09,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-10,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-11,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-12,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-13,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-14,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-15,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-16,Facebook,5,0,0,0,0,0,0,0,0,0,3,4
Rumah Ningrat Subang,2026-03-17,Facebook,5,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-18,Facebook,5,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-19,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-20,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-21,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-22,Facebook,5,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-23,Facebook,5,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-24,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-25,Facebook,5,0,0,0,0,0,0,0,0,0,4,4
Rumah Ningrat Subang,2026-03-26,Facebook,5,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-27,Facebook,5,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-28,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-29,Facebook,5,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-30,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-31,Facebook,5,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-04-01,Facebook,5,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-04-02,Facebook,5,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-04-03,Facebook,5,0,0,0,0,0,0,0,0,0,0,4
